Locations,Indicators,2000,2010,2015,2020
Philippines,"Population Density",255,308,337,363
"NATIONAL CAPITAL REGION (NCR)","Population Density",16032,19137,20785,21765
"CORDILLERA ADMINISTRATIVE REGION (CAR)","Population Density",70,82,87,91
"REGION I (ILOCOS REGION)","Population Density",324,366,388,409
"REGION II (CAGAYAN VALLEY)","Population Density",100,108,116,124
"REGION III (CENTRAL LUZON)","Population Density",373,463,512,567
"REGION IV-A (CALABARZON)","Population Density",560,761,870,977
"REGION IV-B (MIMAROPA)","Population Density",78,93,100,109
"REGION V (BICOL REGION)","Population Density",258,299,320,336
"REGION VI (WESTERN VISAYAS)","Population Density",299,342,363,383
"REGION VII (CENTRAL VISAYAS)","Population Density",359,428,466,509
"REGION VIII (EASTERN VISAYAS)","Population Density",155,177,191,196
"REGION IX (ZAMBOANGA PENINSULA)","Population Density",166,202,215,229
"REGION X (NORTHERN MINDANAO)","Population Density",171,210,229,246
"REGION XI (DAVAO REGION)","Population Density",181,219,239,257
"REGION XII (SOCCSKSARGEN)","Population Density",144,180,199,215
"REGION XIII (CARAGA)","Population Density",98,115,123,133
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","Population Density",84,89,103,120
